nft_collection_name,nft_type,verified,tradeport_url
Walrus Explorer,0x5d9865999eb9a4a5d7cb6615260e42c6400aec1b34cfbb2070005925e673e92e,True,https://www.tradeport.xyz/sui/collection/0x5d9865999eb9a4a5d7cb6615260e42c6400aec1b34cfbb2070005925e673e92e
Present,0x58f6df360e1d410fc23a66313bd460171011c093d4b1c907c74fd329ed4ce28c,True,https://www.tradeport.xyz/sui/collection/0x58f6df360e1d410fc23a66313bd460171011c093d4b1c907c74fd329ed4ce28c
Kumo Plushie,0x6fdd7cf30f7ae90aa01580efae70f1757fc912c5e4be5d5544044c2f5e25d9f5,True,https://www.tradeport.xyz/sui/collection/0x6fdd7cf30f7ae90aa01580efae70f1757fc912c5e4be5d5544044c2f5e25d9f5
SuiShark,0xcb4caf5f0dc5797bb10c9b9b24be60fa4eed6c6d67e5f78570efaa0c33ac3ff,True,https://www.tradeport.xyz/sui/collection/0xcb4caf5f0dc5797bb10c9b9b24be60fa4eed6c6d67e5f78570efaa0c33ac3ff
puppybears,0x7d44ddf461ff0ddac303e66c3d9730b065d917c457301efcfb8fe0d29a514cd6,True,https://www.tradeport.xyz/sui/collection/0x7d44ddf461ff0ddac303e66c3d9730b065d917c457301efcfb8fe0d29a514cd6
PetPals,0x7e4424e596e943701487f4d8170cd14a76546335678ae272e7e2373c1694c04b,True,https://www.tradeport.xyz/sui/collection/0x7e4424e596e943701487f4d8170cd14a76546335678ae272e7e2373c1694c04b
Killa Club,0xc4f793bda2ce1db8a0626b5d3e189680bf7b17559bfe8389cd9db10d4e4d61dc,True,https://www.tradeport.xyz/sui/collection/0xc4f793bda2ce1db8a0626b5d3e189680bf7b17559bfe8389cd9db10d4e4d61dc
SuiNS Day,0xbf1431324a4a6eadd70e0ac6c5a16f36492f255ed4d011978b2cf34ad738efe6,True,https://www.tradeport.xyz/sui/collection/0xbf1431324a4a6eadd70e0ac6c5a16f36492f255ed4d011978b2cf34ad738efe6
Fusion Of The Gods,0xf74aa26054e5db492f93d88bce836466a799b70eae200bc254b5e3c9ed0cea8b,True,https://www.tradeport.xyz/sui/collection/0xf74aa26054e5db492f93d88bce836466a799b70eae200bc254b5e3c9ed0cea8b
Sips,0x975d2f98f59df9825b98a8c819df4c46a8a0ae7cf44424111bf59494ea6e7d7d,True,https://www.tradeport.xyz/sui/collection/0x975d2f98f59df9825b98a8c819df4c46a8a0ae7cf44424111bf59494ea6e7d7d
NOVAGEN,0xf417417b1914266b634b3dc90050be9f28fb755e9d29f36d1892012e0ad6f816,True,https://www.tradeport.xyz/sui/collection/0xf417417b1914266b634b3dc90050be9f28fb755e9d29f36d1892012e0ad6f816
Neon Nibblers Nexus,0x95bde20afc7cc60458d8360c87d4ed1f136dd0fee64828bb7b613aea2d98e9ff,True,https://www.tradeport.xyz/sui/collection/0x95bde20afc7cc60458d8360c87d4ed1f136dd0fee64828bb7b613aea2d98e9ff
Sub10K,0x9041aa11cd874ee87fa6f1c89ed9571c17c587cc64aafed0ddc12e2d2cd6a8c2::collection::Sub10K,True,https://www.tradeport.xyz/sui/collection/0x9041aa11cd874ee87fa6f1c89ed9571c17c587cc64aafed0ddc12e2d2cd6a8c2::collection::Sub10K
Panzerdogs TankPart V2,0x524ac2292d0862f294f1c4973b7d83b008e40e22c333156bc9747626053293f6::tankparts::TankPart,True,https://www.tradeport.xyz/sui/collection/0x524ac2292d0862f294f1c4973b7d83b008e40e22c333156bc9747626053293f6::tankparts::TankPart
SuiFrens: Bullsharks,0x8894fa02fc6f36cbc485ae9145d05f247a78e220814fb8419ab261bd81f08f32,True,https://www.tradeport.xyz/sui/collection/0x8894fa02fc6f36cbc485ae9145d05f247a78e220814fb8419ab261bd81f08f32
